sku,warehouse_id,lp,no_of_units,max_units,min_units,quantity
UNICORN-UNILEVER-0601-2063,2379,3.24,7889,11833,3944,11833.0
UNICORN-UNILEVER-280124-2560,2379,4.06,35482,53223,17741,17741.0
UNICORN-UNILEVER-080124-6407,2379,1.65,4418,6627,2209,6627.0
UNICORN-UNILEVER-080124-6406,2379,91.22,204,306,102,102.0
UNICORN-UNILEVER-080124-6404,2379,41.85,4652,6978,2326,2326.0
UNICORN-UNILEVER-271123-2700,2379,124.95,96,144,48,48.0
UNICORN-UNILEVER-300723-0001,2379,3.25,3619,5428,1809,1809.0
UNICORN-UNILEVER-130723-1437,2379,15.8254,7,10,3,3.0
UNICORN-UNILEVER-130723-1442,2379,106.2885,1,1,1,1.0
UNICORN-UNILEVER-130723-1402,2379,40.9356,7,10,3,3.0
UNICORN-UNILEVER-080124-6402,2379,3.24,3434,5151,1717,5151.0
UNICORN-UNILEVER-180124-3882,2379,76.16,373,559,186,186.0
UNICORN-UNILEVER-0601-2059,2379,3.29,1449,2173,724,724.0
UNICORN-UNILEVER-0601-2057,2379,161.9,134,201,67,67.0
UNICORN-UNILEVER-0601-2058,2379,161.9,88,132,44,44.0
UNICORN-UNILEVER-300723-0005,2379,165.1,21,31,10,10.0
UNICORN-UNILEVER-0601-2054,2379,118.49,116,174,58,58.0
UNICORN-UNILEVER-060124-8891,2379,83.85,261,391,130,130.0
UNICORN-UNILEVER-060224-4725,2379,16.39,1740,2610,870,870.0
UNICORN-UNILEVER-170124-7267,2379,78.49,7137,10705,3568,3568.0
UNICORN-UNILEVER-140124-1992,2379,131.28,5078,7617,2539,2539.0
UNICORN-UNILEVER-080124-6398,2379,72.74,512,768,256,256.0
UNICORN-UNILEVER-130723-1242,2379,8.79,955,1432,477,477.0
UNICORN-UNILEVER-130723-1240,2379,13.06,518,777,259,259.0
UNICORN-UNILEVER-130723-1554,2379,8.47,1389,2083,694,694.0
UNICORN-UNILEVER-130723-1475,2379,52.27,1667,2500,833,833.0
UNICORN-UNILEVER-060124-8901,2379,52.08,278,417,139,417.0
UNICORN-UNILEVER-0601-2047,2379,43.43,6970,10455,3485,3485.0
UNICORN-UNILEVER-0601-2043,2379,52.08,1267,1900,633,1900.0
UNICORN-UNILEVER-130723-1342,2379,41.88,1188,1782,594,1782.0
UNICORN-UNILEVER-0601-2048,2379,76.39,655,982,327,327.0
UNICORN-UNILEVER-0601-2049,2379,43.43,1879,2818,939,939.0
UNICORN-UNILEVER-060124-0005,2379,8.44,4189,6283,2094,6283.0
UNICORN-UNILEVER-060124-8895,2379,76.39,68,102,34,34.0
UNICORN-UNILEVER-130723-1809,2379,62.32,17,25,8,8.0
UNICORN-UNILEVER-011123-7710,2379,62.32,34,51,17,17.0
UNICORN-UNILEVER-141123-1008,2379,45.85,235,352,117,352.0
UNICORN-UNILEVER-141123-1009,2379,45.85,3235,4852,1617,4852.0
UNICORN-UNILEVER-060124-0007,2379,59.79,2449,3673,1224,1224.0
UNICORN-UNILEVER-100124-1224,2379,59.79,4353,6529,2176,2176.0
UNICORN-UNILEVER-080124-6392,2379,47.68,5085,7627,2542,2542.0
UNICORN-UNILEVER-0601-2034,2379,12.55,2342,3513,1171,3513.0
UNICORN-UNILEVER-0601-2039,2379,39.09,640,960,320,320.0
UNICORN-UNILEVER-0601-2038,2379,39.09,302,453,151,151.0
UNICORN-UNILEVER-130723-1315,2379,40.69,760,1140,380,1140.0
UNICORN-UNILEVER-110124-2223,2379,41.51,7012,10518,3506,3506.0
UNICORN-UNILEVER-260823-0003,2379,74.65,235,352,117,117.0
UNICORN-UNILEVER-150124-3865,2379,132.83,435,652,217,217.0
UNICORN-UNILEVER-080124-6391,2379,24.82,8826,13239,4413,13239.0
UNICORN-UNILEVER-130723-1311,2379,106.76,22,33,11,11.0
UNICORN-UNILEVER-0601-2031,2379,103.55,205,307,102,307.0
UNICORN-UNILEVER-130723-1669,2379,127.64,156,234,78,78.0
UNICORN-UNILEVER-080124-0016,2379,85.82,1071,1606,535,535.0
UNICORN-UNILEVER-080124-6390,2379,288.43,76,114,38,38.0
UNICORN-UNILEVER-060124-9448,2379,95.67,1,1,1,1.0
UNICORN-UNILEVER-0601-2024,2379,34.54,2028,3042,1014,3042.0
UNICORN-UNILEVER-0601-2023,2379,78.99,2811,4216,1405,4216.0
UNICORN-UNILEVER-0601-2022,2379,151.58,27,40,13,40.0
UNICORN-UNILEVER-110124-2222,2379,2.52,18204,27306,9102,27306.0
UNICORN-UNILEVER-0601-2016,2379,2.44,30870,46305,15435,15435.0
UNICORN-UNILEVER-0601-2019,2379,1.65,34716,52074,17358,52074.0
UNICORN-UNILEVER-060124-8894,2379,66.66,216,324,108,108.0
UNICORN-UNILEVER-0601-2020,2379,149.55,354,531,177,177.0
UNICORN-UNILEVER-0601-2018,2379,149.55,127,190,63,63.0
UNICORN-UNILEVER-0601-2017,2379,1.65,2089,3133,1044,3133.0
UNICORN-UNILEVER-0601-2015,2379,4.24,34963,52444,17481,52444.0
UNICORN-UNILEVER-0601-2009,2379,117.12,4,6,2,2.0
UNICORN-UNILEVER-0601-2008,2379,8.51,3088,4632,1544,4632.0
UNICORN-UNILEVER-150124-9328,2379,34.0,267,400,133,133.0
UNICORN-UNILEVER-0601-2007,2379,12.77,649,973,324,324.0
UNICORN-UNILEVER-0601-2002,2379,63.37,686,1029,343,1029.0
UNICORN-UNILEVER-0601-2005,2379,26.03,1632,2448,816,816.0
UNICORN-UNILEVER-091123-4406,2379,118.33,117,175,58,175.0
UNICORN-UNILEVER-060124-0015,2379,25.96,903,1354,451,1354.0
UNICORN-UNILEVER-091023-1021,2379,21.04,271,406,135,406.0
UNICORN-UNILEVER-0601-2002,144,63.369667,11431,17146,5715,17146.0
UNICORN-UNILEVER-130124-0011,144,78.993,303,454,151,454.0
UNICORN-UNILEVER-0601-2015,144,4.239097,10689,16033,5344,16033.0
UNICORN-UNILEVER-0601-2014,144,8.478185,20744,31116,10372,31116.0
UNICORN-UNILEVER-0601-2016,144,2.439762,267934,401901,133967,133967.0
UNICORN-UNILEVER-150124-9329,144,1.6548,308215,462322,154107,462322.0
UNICORN-UNILEVER-281123-1003,144,41.9935,216,324,108,108.0
UNICORN-UNILEVER-080124-6389,144,165.4933,463,694,231,231.0
UNICORN-UNILEVER-0601-2034,144,12.552917,780,1170,390,390.0
UNICORN-UNILEVER-080124-1887,144,226.96,49,73,24,24.0
UNICORN-UNILEVER-0601-2005,144,26.03,20045,30067,10022,10022.0
UNICORN-UNILEVER-080124-0016,144,85.82,1710,2565,855,855.0
UNICORN-UNILEVER-0601-2029,144,142.2,342,513,171,171.0
UNICORN-UNILEVER-0601-2047,144,43.43,9634,14451,4817,4817.0
UNICORN-UNILEVER-0601-2046,144,43.43,10557,15835,5278,5278.0
UNICORN-UNILEVER-0601-2049,144,43.43,6498,9747,3249,3249.0
UNICORN-UNILEVER-141123-1008,144,45.85,2993,4489,1496,4489.0
UNICORN-UNILEVER-0601-2036,144,47.68,294,441,147,147.0
UNICORN-UNILEVER-080124-6392,144,47.68,8983,13474,4491,4491.0
UNICORN-UNILEVER-140124-1992,144,131.28,4098,6147,2049,2049.0
UNICORN-UNILEVER-130723-1669,144,127.6414,252,378,126,126.0
UNICORN-UNILEVER-0601-2042,144,8.44,2670,4005,1335,4005.0
UNICORN-UNILEVER-0601-2043,144,52.08,2783,4174,1391,4174.0
UNICORN-UNILEVER-141123-1009,144,45.85,1311,1966,655,1966.0
UNICORN-UNILEVER-130723-1731,144,13.0596,363,544,181,181.0
UNICORN-UNILEVER-080124-1889,144,331.93,66,99,33,33.0
UNICORN-UNILEVER-180124-3882,144,76.16,1109,1663,554,554.0
UNICORN-UNILEVER-050723-9922,144,35.79,2233,3349,1116,1116.0
UNICORN-UNILEVER-130124-0015,144,371.19,765,1147,382,382.0
UNICORN-UNILEVER-130723-1385,144,33.2226,9,13,4,13.0
UNICORN-UNILEVER-150124-3330,144,583.15,26,39,13,13.0
UNICORN-UNILEVER-080124-6406,144,91.22,2828,4242,1414,1414.0
UNICORN-UNILEVER-0601-2013,144,114.58,1396,2094,698,2094.0
UNICORN-UNILEVER-0601-2061,144,121.46,55,82,27,27.0
UNICORN-UNILEVER-050723-9923,144,35.79,687,1030,343,343.0
UNICORN-UNILEVER-011123-7710,144,62.32,945,1417,472,472.0
UNICORN-UNILEVER-130723-1418,144,87.63,82,123,41,41.0
UNICORN-UNILEVER-080124-6390,144,288.43,672,1008,336,336.0
UNICORN-UNILEVER-060124-0005,144,8.44,2013,3019,1006,3019.0
UNICORN-UNILEVER-140124-1993,144,12.55,10974,16461,5487,16461.0
UNICORN-UNILEVER-060124-0007,144,59.79,4414,6621,2207,2207.0
UNICORN-UNILEVER-130723-1293,144,38.4349,4,6,2,2.0
UNICORN-UNILEVER-130723-1254,144,40.9422,3,4,1,0.0
UNICORN-UNILEVER-130723-1573,144,41.8354,20,30,10,10.0
UNICORN-UNILEVER-130723-1752,144,142.7083,2,3,1,1.0
UNICORN-UNILEVER-130723-1275,144,123.0863,2,3,1,1.0
UNICORN-UNILEVER-130723-1402,144,40.9356,10,15,5,5.0
UNICORN-UNILEVER-130723-1395,144,62.1599,9,13,4,4.0
UNICORN-UNILEVER-031223-0202,144,162.47,77,115,38,38.0
UNICORN-UNILEVER-0601-2020,144,149.55,370,555,185,185.0
UNICORN-UNILEVER-150124-3865,144,132.83,2330,3495,1165,1165.0
UNICORN-UNILEVER-091223-0031,144,62.32,257,385,128,128.0
UNICORN-UNILEVER-080124-6407,144,1.65,1008,1512,504,1512.0
UNICORN-UNILEVER-080124-6391,144,24.82,3748,5622,1874,5622.0
UNICORN-UNILEVER-250124-4427,144,87.31,258,387,129,387.0
UNICORN-UNILEVER-080124-0013,144,98.11,6,9,3,3.0
UNICORN-UNILEVER-130124-5270,144,406.54,613,919,306,306.0
UNICORN-UNILEVER-080124-0009,144,3.24,4045,6067,2022,6067.0
UNICORN-UNILEVER-080124-6403,144,4.04,30359,45538,15179,15179.0
UNICORN-UNILEVER-170124-7267,144,78.49,8737,13105,4368,4368.0
UNICORN-UNILEVER-0601-2006,144,34.0,3207,4810,1603,1603.0
UNICORN-UNILEVER-130723-1315,144,40.69,3084,4626,1542,4626.0
UNICORN-UNILEVER-091223-0034,144,203.4275,2,3,1,1.0
UNICORN-UNILEVER-130723-1683,144,329.7796,5,7,2,2.0
UNICORN-UNILEVER-130723-1675,144,196.9188,11,16,5,5.0
UNICORN-UNILEVER-130723-1449,144,365.3675,16,24,8,8.0
UNICORN-UNILEVER-300723-0004,144,381.5004,12,18,6,6.0
UNICORN-UNILEVER-130723-1408,144,203.0875,6,9,3,3.0
UNICORN-UNILEVER-130723-1354,144,203.0875,2,3,1,1.0
UNICORN-UNILEVER-130723-1690,144,381.5004,6,9,3,3.0
UNICORN-UNILEVER-130723-1585,144,190.5129,11,16,5,5.0
UNICORN-UNILEVER-130723-1707,144,381.5004,13,19,6,6.0
UNICORN-UNILEVER-130723-1446,144,138.634,3,4,1,1.0
UNICORN-UNILEVER-130723-1440,144,78.7675,2,3,1,1.0
UNICORN-UNILEVER-180923-1225,144,140.5858,31,46,15,15.0
UNICORN-UNILEVER-130723-1249,144,86.986,73,109,36,36.0
UNICORN-UNILEVER-130723-1245,144,30.7573,310,465,155,155.0
UNICORN-UNILEVER-130723-1633,144,8.7878,784,1176,392,392.0
UNICORN-UNILEVER-130723-1238,144,368.0721,14,21,7,7.0
UNICORN-UNILEVER-130723-1241,144,407.9871,24,36,12,12.0
UNICORN-UNILEVER-130723-1695,144,487.8083,32,48,16,16.0
UNICORN-UNILEVER-130723-1246,144,518.85,39,58,19,19.0
UNICORN-UNILEVER-130723-1240,144,13.0596,504,756,252,252.0
UNICORN-UNILEVER-130723-1237,144,691.7975,25,37,12,12.0
UNICORN-UNILEVER-110124-0022,144,406.54,384,576,192,192.0
UNICORN-UNILEVER-091123-4406,144,118.33,1033,1549,516,1549.0
UNICORN-UNILEVER-0601-2008,144,8.51,6959,10438,3479,10438.0
UNICORN-UNILEVER-100124-1224,144,59.79,4887,7330,2443,2443.0
UNICORN-UNILEVER-060124-8891,144,83.85,492,738,246,246.0
UNICORN-UNILEVER-100224-7249,144,132.39,129,193,64,64.0
UNICORN-UNILEVER-240723-0009,144,154.0173,93,139,46,139.0
UNICORN-UNILEVER-130723-1384,144,77.6443,168,252,84,252.0
UNICORN-UNILEVER-180124-3879,144,443.7417,1,1,1,1.0
UNICORN-UNILEVER-130723-1699,144,333.1013,9,13,4,4.0
UNICORN-UNILEVER-130723-1708,144,345.6754,4,6,2,2.0
UNICORN-UNILEVER-130723-1681,144,8.4302,352,528,176,528.0
UNICORN-UNILEVER-111023-1244,144,114.9867,1,1,1,1.0
UNICORN-UNILEVER-130723-1301,144,259.0788,26,39,13,13.0
UNICORN-UNILEVER-130723-1280,144,12.3168,372,558,186,186.0
UNICORN-UNILEVER-130723-1653,144,72.2035,68,102,34,34.0
UNICORN-UNILEVER-130723-1556,144,45.6315,12,18,6,6.0
UNICORN-UNILEVER-130723-1588,144,62.9437,132,198,66,198.0
UNICORN-UNILEVER-280124-2562,144,380.14,105,157,52,52.0
UNICORN-UNILEVER-080124-6404,144,41.85,10638,15957,5319,5319.0
UNICORN-UNILEVER-0601-2063,144,3.24,35729,53593,17864,53593.0
UNICORN-UNILEVER-261223-9379,144,66.52,288,432,144,432.0
UNICORN-UNILEVER-130124-5271,144,689.36,297,445,148,148.0
UNICORN-UNILEVER-130723-1242,144,8.79,4243,6364,2121,2121.0
UNICORN-UNILEVER-0601-2009,144,117.12,1607,2410,803,803.0
UNICORN-UNILEVER-0601-2064,144,3.24,14406,21609,7203,21609.0
UNICORN-UNILEVER-130124-5269,144,13.01,4293,6439,2146,2146.0
UNICORN-UNILEVER-150124-2748,144,86.685,196,294,98,98.0
UNICORN-UNILEVER-271123-2700,144,124.95,662,993,331,331.0
UNICORN-UNILEVER-0601-2039,144,39.09,1200,1800,600,600.0
UNICORN-UNILEVER-130124-0017,144,517.02,194,291,97,97.0
UNICORN-UNILEVER-130124-0010,144,63.37,48,72,24,72.0
UNICORN-UNILEVER-070823-1203,144,3.16,35242,52863,17621,52863.0
UNICORN-UNILEVER-010124-7250,144,124.52,2386,3579,1193,1193.0
UNICORN-UNILEVER-130723-1716,144,458.37,14,21,7,7.0
UNICORN-UNILEVER-0601-2018,144,149.55,317,475,158,158.0
UNICORN-UNILEVER-080224-1025,144,157.73,2729,4093,1364,4093.0
UNICORN-UNILEVER-060124-8892,144,126.09,85,127,42,42.0
UNICORN-UNILEVER-210823-1982,144,51.33,693,1039,346,1039.0
UNICORN-UNILEVER-280124-2563,144,380.14,56,84,28,28.0
UNICORN-UNILEVER-110124-2222,144,2.52,50730,76095,25365,76095.0
UNICORN-UNILEVER-0601-2024,144,34.54,5956,8934,2978,8934.0
UNICORN-UNILEVER-0601-2054,144,118.49,243,364,121,121.0
UNICORN-UNILEVER-080124-6401,144,164.52,143,214,71,71.0
UNICORN-UNILEVER-0601-2038,144,39.09,1170,1755,585,585.0
UNICORN-UNILEVER-060124-8894,144,66.66,139,208,69,69.0
UNICORN-UNILEVER-100224-7250,144,255.32,38,57,19,19.0
UNICORN-UNILEVER-130723-1811,144,142.43,55,82,27,27.0
UNICORN-UNILEVER-171223-1221,144,62.32,473,709,236,236.0
UNICORN-UNILEVER-130723-1528,144,56.83,1908,2862,954,2862.0
UNICORN-UNILEVER-130124-0007,144,328.52,41,61,20,20.0
UNICORN-UNILEVER-0601-2030,144,74.38,459,688,229,688.0
UNICORN-UNILEVER-080224-1022,144,52.0832,1792,2688,896,896.0
UNICORN-UNILEVER-0601-2052,144,80.65,357,535,178,178.0
UNICORN-UNILEVER-110124-2225,144,164.52,419,628,209,209.0
UNICORN-UNILEVER-280723-2001,144,98.45,34,51,17,17.0
UNICORN-UNILEVER-0601-2057,144,161.9,202,303,101,101.0
UNICORN-UNILEVER-0601-2028,144,155.98,244,366,122,122.0
UNICORN-UNILEVER-0601-2035,144,55.52,60,90,30,30.0
UNICORN-UNILEVER-060124-8890,144,149.34,255,382,127,127.0
UNICORN-UNILEVER-220124-6504,144,132.72,1176,1764,588,588.0
UNICORN-UNILEVER-110124-0021,144,198.85,321,481,160,160.0
UNICORN-UNILEVER-180124-3880,144,443.74,12,18,6,6.0
UNICORN-UNILEVER-080124-3335,144,87.31,278,417,139,417.0
UNICORN-UNILEVER-110124-2223,144,41.51,2178,3267,1089,1089.0
UNICORN-UNILEVER-080124-6398,144,72.74,290,435,145,145.0
UNICORN-UNILEVER-130723-1635,144,395.14,3,4,1,1.0
UNICORN-UNILEVER-060124-0001,144,380.14,19,28,9,9.0
UNICORN-UNILEVER-110124-2224,144,4.24,57381,86071,28690,86071.0
UNICORN-UNILEVER-0601-2023,144,78.99,34052,51078,17026,51078.0
UNICORN-UNILEVER-010124-1783,144,66.52,6285,9427,3142,9427.0
UNICORN-UNILEVER-121223-6403,144,68.17,64,96,32,96.0
UNICORN-UNILEVER-060124-8909,144,16.68,1774,2661,887,2661.0
UNICORN-UNILEVER-280124-0020,144,344.47,139,208,69,69.0
UNICORN-UNILEVER-280124-0021,144,148.36,51,76,25,25.0
UNICORN-UNILEVER-080124-3341,144,105.91,183,274,91,274.0
UNICORN-UNILEVER-0601-2059,144,3.29,4284,6426,2142,2142.0
UNICORN-UNILEVER-300124-3659,144,151.58,5589,8383,2794,8383.0
UNICORN-UNILEVER-060124-9448,144,95.67,131,196,65,65.0
UNICORN-UNILEVER-070823-0005,144,228.64,2,3,1,3.0
UNICORN-UNILEVER-211023-0026,144,106.76,15,22,7,7.0
UNICORN-UNILEVER-130723-1624,144,42.71,114,171,57,57.0
UNICORN-UNILEVER-060124-0015,144,25.96,6024,9036,3012,9036.0
UNICORN-UNILEVER-150124-9332,144,530.27,41,61,20,20.0
UNICORN-UNILEVER-060124-8899,144,380.14,13,19,6,6.0
UNICORN-UNILEVER-130723-1504,144,304.87,15,22,7,7.0
UNICORN-UNILEVER-121223-6402,144,75.36,44,66,22,66.0
UNICORN-UNILEVER-091223-5933,144,130.3,33,49,16,16.0
UNICORN-UNILEVER-070823-0006,144,1.57,3374,5061,1687,5061.0
UNICORN-UNILEVER-0601-2040,144,55.52,69,103,34,34.0
UNICORN-UNILEVER-060124-0003,144,118.68,180,270,90,90.0
UNICORN-UNILEVER-130124-0016,144,366.77,72,108,36,36.0
UNICORN-UNILEVER-130723-1800,144,81.14,12,18,6,6.0
UNICORN-UNILEVER-0601-2048,144,76.39,157,235,78,78.0
UNICORN-UNILEVER-060124-8897,144,126.39,136,204,68,68.0
UNICORN-UNILEVER-080124-0012,144,217.97,115,172,57,57.0
UNICORN-UNILEVER-141223-0020,144,130.3,49,73,24,24.0
UNICORN-UNILEVER-300124-4725,144,108.75,2156,3234,1078,1078.0
UNICORN-UNILEVER-251123-1009,144,225.71,127,190,63,190.0
UNICORN-UNILEVER-060124-8895,144,76.39,195,292,97,97.0
UNICORN-UNILEVER-110124-2224,156,4.24,85536,128304,42768,128304.0
UNICORN-UNILEVER-100124-1224,156,59.79,6142,9213,3071,3071.0
UNICORN-UNILEVER-261223-9379,156,66.52,408,612,204,612.0
UNICORN-UNILEVER-060124-9448,156,95.67,239,358,119,119.0
UNICORN-UNILEVER-080124-3341,156,105.91,333,499,166,499.0
UNICORN-UNILEVER-270923-1022,156,49.63,34,51,17,17.0
UNICORN-UNILEVER-150124-9329,156,1.65,493459,740188,246729,246729.0
UNICORN-UNILEVER-060124-0015,156,25.96,14337,21505,7168,21505.0
UNICORN-UNILEVER-060124-0005,156,8.44,3354,5031,1677,5031.0
UNICORN-UNILEVER-080124-6400,156,127.9,462,693,231,231.0
UNICORN-UNILEVER-0601-2039,156,39.09,2255,3382,1127,1127.0
UNICORN-UNILEVE-270124-5937,156,62.1,371,556,185,185.0
UNICORN-UNILEVER-100224-2640,156,212.77,2105,3157,1052,1052.0
UNICORN-UNILEVER-080124-6392,156,47.68,5495,8242,2747,2747.0
UNICORN-UNILEVER-120823-0001,156,3.17,7499,11248,3749,11248.0
UNICORN-UNILEVER-0601-2029,156,142.2,743,1114,371,371.0
UNICORN-UNILEVER-180124-3882,156,76.16,1307,1960,653,653.0
UNICORN-UNILEVER-0601-2038,156,39.09,1823,2734,911,911.0
UNICORN-UNILEVER-100224-0004,156,151.31,3762,5643,1881,1881.0
UNICORN-UNILEVER-211023-1226,156,677.36,166,249,83,249.0
UNICORN-UNILEVER-140124-1993,156,12.55,10046,15069,5023,15069.0
UNICORN-UNILEVER-080124-0012,156,217.97,144,216,72,72.0
UNICORN-UNILEVER-080124-1889,156,331.93,61,91,30,30.0
UNICORN-UNILEVER-130723-1462,156,173.38,47,70,23,23.0
UNICORN-UNILEVER-280124-2560,156,4.06,164956,247434,82478,82478.0
UNICORN-UNILEVER-130124-0015,156,371.19,912,1368,456,456.0
UNICORN-UNILEVER-080124-6403,156,4.04,37646,56469,18823,18823.0
UNICORN-UNILEVER-031223-0202,156,162.47,25,37,12,12.0
UNICORN-UNILEVER-060124-8890,156,149.34,375,562,187,187.0
UNICORN-UNILEVER-130723-1674,156,1.66,40928,61392,20464,20464.0
UNICORN-UNILEVER-010124-7250,156,124.52,2304,3456,1152,1152.0
UNICORN-UNILEVER-040224-1022,156,62.11,1584,2376,792,792.0
UNICORN-UNILEVER-110124-2223,156,41.51,2189,3283,1094,1094.0
UNICORN-UNILEVER-011123-7710,156,62.32,895,1342,447,447.0
UNICORN-UNILEVER-060124-0011,156,267.72,552,828,276,828.0
UNICORN-UNILEVER-211023-1224,156,194.29,34,51,17,51.0
UNICORN-UNILEVER-140124-1992,156,131.28,6342,9513,3171,3171.0
UNICORN-UNILEVER-0601-2030,156,74.38,158,237,79,237.0
UNICORN-UNILEVER-060124-8894,156,66.66,534,801,267,267.0
UNICORN-UNILEVER-060124-8909,156,16.68,5382,8073,2691,8073.0
UNICORN-UNILEVER-0601-2054,156,118.49,221,331,110,110.0
UNICORN-UNILEVER-130723-1466,156,16.45,910,1365,455,455.0
UNICORN-UNILEVER-130124-5269,156,13.0076,23539,35308,11769,11769.0
UNICORN-UNILEVER-0601-2036,156,47.677222,2309,3463,1154,1154.0
UNICORN-UNILEVER-060124-8891,156,83.848889,746,1119,373,373.0
UNICORN-UNILEVER-130124-0017,156,517.0175,138,207,69,69.0
UNICORN-UNILEVER-130723-1475,156,52.2681,69,103,34,34.0
UNICORN-UNILEVER-130723-1597,156,38.4349,748,1122,374,374.0
UNICORN-UNILEVER-170124-7267,156,78.49,7832,11748,3916,3916.0
UNICORN-UNILEVER-0601-2008,156,8.51,6463,9694,3231,9694.0
UNICORN-UNILEVER-0601-2057,156,161.9,417,625,208,208.0
UNICORN-UNILEVER-040224-1021,156,62.11,48,72,24,24.0
UNICORN-UNILEVER-130723-1632,156,117.54,155,232,77,77.0
UNICORN-UNILEVER-250124-3696,156,226.96,33,49,16,16.0
UNICORN-UNILEVER-080124-6406,156,91.22,1415,2122,707,707.0
UNICORN-UNILEVER-0601-2007,156,12.77,26627,39940,13313,13313.0
UNICORN-UNILEVER-261223-7516,156,3.26,60311,90466,30155,30155.0
UNICORN-UNILEVER-080124-6398,156,72.74,839,1258,419,419.0
UNICORN-UNILEVER-080124-6405,156,124.52,320,480,160,160.0
UNICORN-UNILEVER-010124-7249,156,66.98,223,334,111,334.0
UNICORN-UNILEVER-150124-9328,156,34.0,10854,16281,5427,5427.0
UNICORN-UNILEVER-050723-9922,156,35.79,861,1291,430,430.0
UNICORN-UNILEVER-130124-5270,156,406.54,430,645,215,215.0
UNICORN-UNILEVER-130723-1258,156,24.49,1451,2176,725,2176.0
UNICORN-UNILEVER-010124-7248,156,59.1,101,151,50,151.0
UNICORN-UNILEVER-0601-2052,156,80.65,307,460,153,153.0
UNICORN-UNILEVER-080124-6404,156,41.85,13431,20146,6715,6715.0
UNICORN-UNILEVER-0601-2049,156,43.43,4677,7015,2338,2338.0
UNICORN-UNILEVER-110124-2222,156,2.52,74363,111544,37181,111544.0
UNICORN-UNILEVER-110124-0021,156,198.85,504,756,252,252.0
UNICORN-UNILEVER-060124-8900,156,74.74,131,196,65,65.0
UNICORN-UNILEVER-060124-8901,156,52.08,82,123,41,123.0
UNICORN-UNILEVER-0601-2032,156,41.37,4277,6415,2138,2138.0
UNICORN-UNILEVER-0601-2046,156,43.43,10387,15580,5193,5193.0
UNICORN-UNILEVER-130124-0014,156,206.16,199,298,99,99.0
UNICORN-UNILEVER-0601-2053,156,138.15,220,330,110,110.0
UNICORN-UNILEVER-250723-1130,156,87.63,208,312,104,104.0
UNICORN-UNILEVER-080124-6396,156,62.1,228,342,114,114.0
UNICORN-UNILEVER-150124-3865,156,132.83,3216,4824,1608,1608.0
UNICORN-UNILEVER-080124-6402,156,3.24,23674,35511,11837,35511.0
UNICORN-UNILEVER-200124-3075,156,8.76,11581,17371,5790,5790.0
UNICORN-UNILEVER-130723-1684,156,21.77,490,735,245,245.0
UNICORN-UNILEVER-0601-2048,156,76.39,649,973,324,324.0
UNICORN-UNILEVER-150124-3330,156,583.15,33,49,16,16.0
